Year,Current Course,Technical Skill,Programming Languages,Rating(technical and programming),Projects,Career Interest,Challenges,Support-required,Student-Linguistic,Musical,Bodily,Logical - Mathematical,Spatial-Visualization,Interpersonal,Intrapersonal,Naturalist,Soft Skills,Rating(soft skills),Score,Recommended Job
1st,MBA,Full Stack Development,Python Java C++,4,No,Data Scientist,Procrastination,Internships,16,6,18,18,8,11,14,9,Strategic Thinking Analytical Skills,2,112,Cybersecurity Analyst
4th,MCA,DevOps,Python R SQL,1,Yes,Data Scientist,Presentation skills,Online resources,18,14,19,11,15,18,16,9,Emotional Intelligence Active Listening,2,126,Cloud Architect
4th,MBA,Cloud Infrastructure,Julia Python R,4,No,Data Scientist,Procrastination,Online resources,14,12,6,14,13,15,13,13,Collaboration Empathy Teamwork,3,114,Software Engineer
3rd,B.Tech CSE,Full Stack Development,R SAS Python,5,Yes,AI Engineer,Presentation skills,Online resources,9,16,20,19,11,13,11,14,Communication Adaptability Problem-Solving,4,131,Data Scientist
4th,MBA,IoT Applications,Python Go Rust,4,Yes,Cloud Architect,Procrastination,Workshops,8,6,20,14,12,8,20,12,Communication Adaptability Problem-Solving,4,116,Software Engineer
4th,B.Sc Computer Science,NLP,Julia Python R,2,Yes,AI Engineer,Presentation skills,Workshops,17,13,12,12,18,12,11,9,Conflict Resolution Team Leadership,5,118,Software Engineer
2nd,M.Sc Data Science,Computer Vision,C# .NET SQL,2,No,AI Engineer,Interview anxiety,Mentorship programs,10,14,14,13,9,20,20,17,Collaboration Empathy Teamwork,1,123,Software Engineer
2nd,MCA,Business Intelligence,MATLAB Python C,2,Yes,Data Scientist,Procrastination,Workshops,19,15,19,10,11,8,10,16,Emotional Intelligence Active Listening,2,116,Cybersecurity Analyst
3rd,MCA,Blockchain Development,Julia Python R,2,No,Cloud Architect,Time management,Peer groups,14,5,13,17,18,15,13,9,Emotional Intelligence Active Listening,5,118,Cybersecurity Analyst
3rd,M.Sc Data Science,NLP,MATLAB Python C,5,Yes,Cybersecurity Analyst,Time management,Online resources,20,13,9,12,9,18,12,17,Presentation Skills Public Speaking,3,126,Cloud Architect
2nd,M.Sc Data Science,NLP,Python Java C++,3,No,Business Analyst,Lack of resources,Internships,18,15,12,19,10,17,10,13,Time-Management Resilience Negotiation,3,126,Data Scientist
1st,MCA,Business Intelligence,R SAS Python,4,No,Business Analyst,Lack of resources,Online resources,11,13,13,18,14,12,20,6,Conflict Resolution Team Leadership,5,125,Software Engineer
3rd,B.Tech IT,Data Visualization,Scala Java Python,1,No,AI Engineer,Team collaboration,Peer groups,14,15,18,11,15,15,10,7,Emotional Intelligence Active Listening,3,113,Cybersecurity Analyst
3rd,M.Sc Data Science,Cloud Infrastructure,JavaScript TypeScript Python,3,Yes,Business Analyst,Presentation skills,Internships,15,17,14,14,17,9,16,10,Decision-Making Flexibility Innovation,2,122,Software Engineer
1st,B.Sc Computer Science,Cloud Infrastructure,R SAS Python,3,Yes,Software Engineer,Interview anxiety,Mentorship programs,18,17,11,11,13,14,15,10,Collaboration Empathy Teamwork,5,125,Software Engineer
2nd,MBA,DevOps,Scala Java Python,5,Yes,Cybersecurity Analyst,Procrastination,Internships,12,12,12,16,18,12,11,18,Presentation Skills Public Speaking,4,129,AI Engineer
4th,M.Sc Data Science,Mobile App Development,Scala Java Python,2,Yes,AI Engineer,Presentation skills,Peer groups,14,7,16,20,9,16,17,17,Collaboration Empathy Teamwork,1,122,Software Engineer
1st,B.Sc Computer Science,Computer Vision,R SAS Python,4,Yes,Business Analyst,Lack of resources,Internships,15,11,17,15,11,14,13,9,Strategic Thinking Analytical Skills,1,115,Software Engineer
2nd,B.Tech IT,Blockchain Development,Python Java C++,5,Yes,Business Analyst,Time management,Internships,15,5,11,16,13,12,18,5,Collaboration Empathy Teamwork,5,115,Software Engineer
3rd,B.Tech IT,Penetration Testing,Python R SQL,5,Yes,Software Engineer,Time management,Online resources,11,20,10,18,18,12,14,17,Decision-Making Flexibility Innovation,1,132,Cloud Architect
2nd,B.Tech CSE,Cloud Infrastructure,C# .NET SQL,1,Yes,Cybersecurity Analyst,Lack of resources,Peer groups,20,14,17,11,19,9,19,7,Leadership Creativity Critical-Thinking,3,124,Software Engineer
3rd,M.Sc Data Science,Deep Learning,JavaScript TypeScript Python,1,Yes,Data Scientist,Interview anxiety,Online resources,15,8,11,14,18,8,13,20,Conflict Resolution Team Leadership,2,113,Software Engineer
3rd,B.Sc Computer Science,Computer Vision,Python Go Rust,3,No,AI Engineer,Presentation skills,Mentorship programs,9,18,16,20,12,15,20,20,Time-Management Resilience Negotiation,3,142,Data Scientist
2nd,MBA,IoT Applications,Java Kotlin Swift,5,Yes,Business Analyst,Presentation skills,Online resources,19,13,16,18,18,15,10,13,Decision-Making Flexibility Innovation,1,134,Data Scientist
1st,MBA,DevOps,Scala Java Python,2,No,Cybersecurity Analyst,Interview anxiety,Peer groups,19,5,18,18,18,13,16,18,Conflict Resolution Team Leadership,4,137,Data Scientist
4th,B.Sc Computer Science,Cloud Infrastructure,MATLAB Python C,1,No,Cloud Architect,Interview anxiety,Mentorship programs,8,8,16,20,9,9,18,20,Presentation Skills Public Speaking,3,116,Cybersecurity Analyst
3rd,B.Tech IT,Embedded Systems,Scala Java Python,5,Yes,Business Analyst,Procrastination,Online resources,12,5,19,20,17,19,14,20,Strategic Thinking Analytical Skills,1,138,Cloud Architect
3rd,B.Sc Computer Science,Cloud Security,PHP JavaScript MySQL,2,Yes,Software Engineer,Presentation skills,Workshops,11,8,16,17,8,16,16,14,Decision-Making Flexibility Innovation,3,116,Software Engineer
2nd,B.Sc Computer Science,Data Engineering,Python R SQL,4,Yes,Data Scientist,Procrastination,Mentorship programs,10,8,20,11,19,20,11,13,Decision-Making Flexibility Innovation,1,122,Software Engineer
1st,B.Sc Computer Science,Penetration Testing,PHP JavaScript MySQL,1,Yes,Business Analyst,Presentation skills,Workshops,19,11,10,17,9,16,15,17,Strategic Thinking Analytical Skills,1,118,Cybersecurity Analyst
1st,MCA,Computer Vision,Python R SQL,4,Yes,AI Engineer,Interview anxiety,Workshops,14,5,16,17,8,9,17,6,Communication Adaptability Problem-Solving,2,104,Business Analyst
1st,MBA,IoT Applications,Julia Python R,2,Yes,Business Analyst,Interview anxiety,Internships,16,14,9,12,19,16,16,16,Presentation Skills Public Speaking,5,132,Cloud Architect
1st,B.Sc Computer Science,NLP,Python R SQL,4,Yes,Cybersecurity Analyst,Interview anxiety,Peer groups,10,5,10,16,19,20,19,8,Communication Adaptability Problem-Solving,2,119,Cybersecurity Analyst
4th,B.Tech CSE,Cloud Infrastructure,Java Kotlin Swift,1,No,Data Scientist,Time management,Online resources,8,17,19,12,8,14,11,8,Emotional Intelligence Active Listening,4,107,Software Engineer
1st,B.Tech IT,Embedded Systems,Java Kotlin Swift,3,No,AI Engineer,Interview anxiety,Workshops,18,19,19,19,17,8,16,16,Communication Adaptability Problem-Solving,4,146,Cloud Architect
2nd,M.Sc Data Science,Network Security,Python Go Rust,4,No,Cybersecurity Analyst,Procrastination,Online resources,9,8,5,12,9,14,20,12,Leadership Creativity Critical-Thinking,3,103,Business Analyst
2nd,B.Sc Computer Science,Embedded Systems,Scala Java Python,2,Yes,Business Analyst,Procrastination,Peer groups,18,5,15,12,8,12,19,18,Communication Adaptability Problem-Solving,3,117,Cybersecurity Analyst
3rd,B.Tech CSE,Embedded Systems,Scala Java Python,3,No,Software Engineer,Interview anxiety,Internships,19,11,15,13,8,17,11,15,Strategic Thinking Analytical Skills,2,119,Cybersecurity Analyst
2nd,M.Sc Data Science,Computer Vision,Python R SQL,3,No,Cybersecurity Analyst,Team collaboration,Internships,8,19,19,12,14,16,11,5,Collaboration Empathy Teamwork,2,114,Cybersecurity Analyst
3rd,B.Tech IT,AI Fundamentals,PHP JavaScript MySQL,4,Yes,Cybersecurity Analyst,Interview anxiety,Peer groups,18,7,16,14,18,9,19,15,Leadership Creativity Critical-Thinking,2,128,Data Scientist
2nd,B.Sc Computer Science,DevOps,Java Kotlin Swift,1,Yes,Software Engineer,Time management,Peer groups,19,13,6,13,18,11,18,12,Leadership Creativity Critical-Thinking,5,122,Software Engineer
1st,MBA,Cloud Security,Scala Java Python,5,No,Cloud Architect,Time management,Peer groups,17,10,20,11,20,11,13,7,Conflict Resolution Team Leadership,3,125,Software Engineer
1st,B.Tech CSE,AI Fundamentals,Python R SQL,3,No,Data Scientist,Team collaboration,Workshops,12,13,10,11,8,10,11,14,Strategic Thinking Analytical Skills,5,105,Business Analyst
3rd,B.Tech IT,Data Engineering,Python Java C++,2,No,Cloud Architect,Procrastination,Internships,13,19,19,15,14,8,15,19,Collaboration Empathy Teamwork,1,128,Cloud Architect
3rd,B.Tech IT,Network Security,C# .NET SQL,3,Yes,Cybersecurity Analyst,Interview anxiety,Internships,19,16,20,18,19,10,18,12,Leadership Creativity Critical-Thinking,3,144,Cloud Architect
1st,MCA,Cloud Security,Python Java C++,2,Yes,AI Engineer,Team collaboration,Mentorship programs,9,15,15,16,8,12,16,13,Strategic Thinking Analytical Skills,1,110,Cybersecurity Analyst
1st,B.Tech IT,Cloud Security,R SAS Python,5,No,AI Engineer,Presentation skills,Online resources,9,12,6,19,19,16,20,8,Strategic Thinking Analytical Skills,4,127,Cloud Architect
3rd,M.Sc Data Science,NLP,Java Kotlin Swift,3,Yes,Data Scientist,Team collaboration,Peer groups,11,15,12,16,19,14,18,12,Communication Adaptability Problem-Solving,5,133,Cloud Architect
1st,MBA,Mobile App Development,C# .NET SQL,4,Yes,Data Scientist,Lack of resources,Peer groups,20,18,11,18,17,18,20,17,Strategic Thinking Analytical Skills,5,157,AI Engineer
2nd,MCA,AI Fundamentals,JavaScript TypeScript Python,1,Yes,AI Engineer,Presentation skills,Online resources,12,13,5,10,17,8,11,17,Communication Adaptability Problem-Solving,2,99,Business Analyst
1st,MBA,Mobile App Development,C# .NET SQL,4,Yes,Business Analyst,Interview anxiety,Internships,10,13,19,17,19,17,19,12,Communication Adaptability Problem-Solving,4,142,Data Scientist
3rd,B.Tech CSE,Mobile App Development,Python Java C++,4,No,Data Scientist,Presentation skills,Online resources,8,15,13,20,10,9,18,17,Decision-Making Flexibility Innovation,2,122,Cybersecurity Analyst
2nd,MCA,DevOps,PHP JavaScript MySQL,3,No,Cloud Architect,Procrastination,Workshops,15,18,12,13,13,10,15,11,Leadership Creativity Critical-Thinking,4,121,Software Engineer
4th,B.Tech IT,AI Fundamentals,R SAS Python,4,No,AI Engineer,Interview anxiety,Workshops,14,7,14,12,18,13,20,15,Decision-Making Flexibility Innovation,1,123,Cybersecurity Analyst
3rd,M.Sc Data Science,IoT Applications,Java Kotlin Swift,3,No,Cloud Architect,Lack of resources,Internships,18,7,12,16,8,8,14,6,Collaboration Empathy Teamwork,2,99,Business Analyst
3rd,B.Tech IT,Business Intelligence,JavaScript TypeScript Python,3,Yes,Cybersecurity Analyst,Interview anxiety,Mentorship programs,13,14,9,13,11,20,12,14,Strategic Thinking Analytical Skills,3,118,Software Engineer
4th,B.Tech CSE,AI Fundamentals,PHP JavaScript MySQL,3,No,Cloud Architect,Time management,Workshops,19,14,19,14,13,10,18,17,Collaboration Empathy Teamwork,4,138,Data Scientist
1st,B.Tech CSE,AI Fundamentals,Python R SQL,4,No,AI Engineer,Team collaboration,Internships,14,9,7,13,16,9,12,20,Emotional Intelligence Active Listening,2,112,Cybersecurity Analyst
1st,MBA,DevOps,Python Java C++,1,Yes,Cybersecurity Analyst,Presentation skills,Peer groups,19,12,14,15,18,12,20,19,Communication Adaptability Problem-Solving,5,141,Data Scientist
2nd,MBA,IoT Applications,PHP JavaScript MySQL,2,Yes,Cybersecurity Analyst,Time management,Workshops,14,6,16,13,11,12,19,11,Communication Adaptability Problem-Solving,2,110,Cybersecurity Analyst
1st,M.Sc Data Science,Cloud Security,Python Go Rust,5,Yes,Cybersecurity Analyst,Presentation skills,Peer groups,20,6,8,14,12,11,17,7,Presentation Skills Public Speaking,3,111,Software Engineer
4th,B.Tech IT,Mobile App Development,MATLAB Python C,1,Yes,Data Scientist,Procrastination,Peer groups,8,7,16,10,17,17,13,16,Collaboration Empathy Teamwork,5,116,Cybersecurity Analyst
1st,MBA,Full Stack Development,Java Kotlin Swift,2,No,Data Scientist,Lack of resources,Online resources,18,20,8,18,13,17,20,11,Strategic Thinking Analytical Skills,4,137,Cloud Architect
1st,B.Tech CSE,NLP,Python R SQL,5,Yes,Cybersecurity Analyst,Team collaboration,Internships,14,18,11,19,15,16,19,7,Presentation Skills Public Speaking,4,137,Data Scientist
4th,B.Tech IT,Data Visualization,Python R SQL,4,Yes,Data Scientist,Team collaboration,Online resources,10,5,9,17,15,13,18,13,Collaboration Empathy Teamwork,5,118,Cybersecurity Analyst
1st,B.Tech IT,DevOps,R SAS Python,4,No,Business Analyst,Presentation skills,Mentorship programs,17,6,15,11,16,11,15,15,Strategic Thinking Analytical Skills,5,124,Software Engineer
3rd,MCA,Cloud Infrastructure,R SAS Python,5,Yes,Cloud Architect,Team collaboration,Workshops,9,5,6,15,14,16,20,7,Leadership Creativity Critical-Thinking,2,106,Software Engineer
2nd,MCA,Business Intelligence,Java Kotlin Swift,5,Yes,Cloud Architect,Procrastination,Peer groups,11,7,15,19,12,15,19,11,Decision-Making Flexibility Innovation,4,127,Cloud Architect
3rd,MBA,Penetration Testing,Python Go Rust,4,No,AI Engineer,Interview anxiety,Internships,10,11,11,20,15,13,14,20,Communication Adaptability Problem-Solving,1,124,Cybersecurity Analyst
4th,B.Sc Computer Science,IoT Applications,R SAS Python,4,Yes,Data Scientist,Procrastination,Internships,17,11,14,16,13,20,10,8,Leadership Creativity Critical-Thinking,2,121,Cybersecurity Analyst
2nd,MBA,Network Security,Java Kotlin Swift,5,Yes,Software Engineer,Time management,Peer groups,17,12,19,13,8,13,13,16,Decision-Making Flexibility Innovation,5,131,Cloud Architect
4th,M.Sc Data Science,Cloud Infrastructure,MATLAB Python C,3,Yes,Cloud Architect,Interview anxiety,Peer groups,15,10,10,11,19,18,14,9,Time-Management Resilience Negotiation,3,118,Software Engineer
1st,B.Sc Computer Science,DevOps,PHP JavaScript MySQL,4,No,Cloud Architect,Interview anxiety,Workshops,11,10,16,20,17,13,11,20,Collaboration Empathy Teamwork,2,130,AI Engineer
1st,B.Tech IT,IoT Applications,JavaScript TypeScript Python,5,Yes,Business Analyst,Presentation skills,Mentorship programs,8,10,12,18,17,10,13,14,Decision-Making Flexibility Innovation,5,122,Cybersecurity Analyst
2nd,B.Tech CSE,Full Stack Development,PHP JavaScript MySQL,5,No,Cybersecurity Analyst,Time management,Mentorship programs,20,15,16,12,10,19,16,19,Presentation Skills Public Speaking,5,147,Data Scientist
4th,MCA,Cloud Infrastructure,MATLAB Python C,2,Yes,Data Scientist,Presentation skills,Mentorship programs,16,11,9,17,8,20,17,6,Communication Adaptability Problem-Solving,5,118,Cybersecurity Analyst
4th,B.Tech IT,Business Intelligence,R SAS Python,5,Yes,Data Scientist,Lack of resources,Peer groups,18,16,12,16,14,20,14,11,Leadership Creativity Critical-Thinking,4,139,Cloud Architect
4th,B.Sc Computer Science,Computer Vision,JavaScript TypeScript Python,2,Yes,AI Engineer,Procrastination,Mentorship programs,13,15,7,15,8,19,10,11,Time-Management Resilience Negotiation,3,108,Software Engineer
4th,B.Tech CSE,Cloud Security,Java Kotlin Swift,2,No,Cloud Architect,Procrastination,Internships,16,11,12,15,18,10,14,5,Decision-Making Flexibility Innovation,1,107,Software Engineer
3rd,MCA,Mobile App Development,Scala Java Python,5,Yes,AI Engineer,Team collaboration,Workshops,11,20,8,10,10,14,10,16,Strategic Thinking Analytical Skills,2,113,Cybersecurity Analyst
4th,M.Sc Data Science,Penetration Testing,R SAS Python,4,No,Software Engineer,Lack of resources,Peer groups,14,12,15,12,9,16,15,15,Time-Management Resilience Negotiation,1,118,Cybersecurity Analyst
4th,MBA,Full Stack Development,Julia Python R,3,No,Software Engineer,Lack of resources,Peer groups,12,6,18,12,11,17,10,20,Conflict Resolution Team Leadership,3,118,Cybersecurity Analyst
4th,B.Sc Computer Science,Network Security,Python Java C++,2,Yes,AI Engineer,Interview anxiety,Internships,12,8,13,14,20,11,18,13,Conflict Resolution Team Leadership,4,121,Software Engineer
3rd,M.Sc Data Science,Mobile App Development,Java Kotlin Swift,1,Yes,Cloud Architect,Lack of resources,Peer groups,9,16,18,13,11,9,11,9,Emotional Intelligence Active Listening,2,102,Business Analyst
2nd,B.Sc Computer Science,Full Stack Development,Java Kotlin Swift,3,No,Business Analyst,Time management,Online resources,16,11,19,14,14,20,15,14,Strategic Thinking Analytical Skills,2,133,Data Scientist
4th,B.Tech CSE,DevOps,Python Go Rust,1,Yes,Business Analyst,Presentation skills,Workshops,9,9,13,17,9,9,20,12,Time-Management Resilience Negotiation,4,108,Cybersecurity Analyst
1st,MCA,Mobile App Development,Python R SQL,3,Yes,AI Engineer,Interview anxiety,Workshops,12,16,17,12,20,14,15,18,Decision-Making Flexibility Innovation,1,132,Data Scientist
3rd,B.Tech CSE,DevOps,Julia Python R,5,No,Data Scientist,Team collaboration,Workshops,8,5,6,13,17,15,14,7,Strategic Thinking Analytical Skills,3,101,Business Analyst
2nd,B.Sc Computer Science,AI Fundamentals,PHP JavaScript MySQL,2,No,Data Scientist,Procrastination,Workshops,12,12,6,17,12,9,15,17,Collaboration Empathy Teamwork,4,112,Cybersecurity Analyst
2nd,MCA,NLP,MATLAB Python C,1,No,AI Engineer,Team collaboration,Internships,14,18,8,18,15,15,20,17,Presentation Skills Public Speaking,5,137,AI Engineer
3rd,MCA,Blockchain Development,C# .NET SQL,5,No,Software Engineer,Presentation skills,Workshops,16,15,18,19,20,13,16,6,Collaboration Empathy Teamwork,1,135,Cloud Architect
2nd,B.Tech IT,Blockchain Development,C# .NET SQL,4,No,Software Engineer,Procrastination,Peer groups,14,20,18,19,20,8,17,11,Leadership Creativity Critical-Thinking,3,141,Cloud Architect
1st,B.Tech IT,Deep Learning,Java Kotlin Swift,3,No,Business Analyst,Procrastination,Workshops,13,19,20,11,18,13,12,16,Decision-Making Flexibility Innovation,4,136,Data Scientist
2nd,M.Sc Data Science,Data Engineering,Python Java C++,2,Yes,Business Analyst,Time management,Workshops,8,9,7,18,9,8,10,15,Presentation Skills Public Speaking,5,98,Business Analyst
1st,B.Tech IT,DevOps,JavaScript TypeScript Python,5,Yes,AI Engineer,Presentation skills,Workshops,17,15,5,18,13,12,16,11,Presentation Skills Public Speaking,4,125,Cybersecurity Analyst
1st,B.Tech IT,Full Stack Development,MATLAB Python C,1,Yes,Software Engineer,Time management,Mentorship programs,17,14,11,17,15,19,16,17,Conflict Resolution Team Leadership,2,132,Cloud Architect
2nd,MBA,Business Intelligence,PHP JavaScript MySQL,3,No,Data Scientist,Presentation skills,Mentorship programs,13,16,15,20,17,14,17,12,Decision-Making Flexibility Innovation,2,134,Data Scientist
